gate_id,epoch_time,trial_id
entrance,1744018023.9731517,1
left,1744018024.086183,1
left,1744018024.1347673,1
left,1744018027.8611095,1
entrance,1744018043.1722317,1
entrance,1744018043.1829245,1
entrance,1744018043.2007537,1
left,1744018043.3821988,1
left,1744018059.286263,2
entrance,1744018059.412877,2
entrance,1744018059.4472415,1
left,1744018059.5135849,1
entrance,1744018059.6064138,2
entrance,1744018143.6026149,2
entrance,1744018143.7082608,2
entrance,1744018143.7218935,2
left,1744018144.3270917,2
left,1744018144.349187,2
left,1744018144.5798228,2
entrance,1744018181.4275668,2
left,1744018181.465412,2
entrance,1744018181.5887616,1
entrance,1744018182.740677,1
left,1744018186.2448215,1
entrance,1744018186.8971028,1
left,1744018203.2160406,2
left,1744018203.2499828,2
left,1744018203.5595198,2
left,1744018203.5864606,2
entrance,1744018439.8170614,2
entrance,1744018439.8703256,2
left,1744018440.0027735,2
left,1744018440.017583,1
entrance,1744018440.4803655,1
left,1744018440.599516,2
left,1744018440.614148,2
entrance,1744018441.9583037,2
left,1744018442.143331,2
left,1744018442.160717,2
left,1744018513.9642026,2
entrance,1744018514.41935,2
right,1744018545.7616851,2
entrance,1744018547.7341847,2
left,1744018608.8201182,2
left,1744018608.8605344,2
left,1744018608.883124,2
entrance,1744018609.152244,2
entrance,1744018609.1801393,1
left,1744018609.3112783,1
left,1744018609.332189,1
left,1744018609.342285,1
entrance,1744018718.1034696,1
left,1744018775.688753,1
left,1744018775.8636734,1
entrance,1744018776.0826998,1
entrance,1744018812.5100114,1
left,1744018812.677309,1
entrance,1744018813.8702717,2
left,1744018814.1675096,2
left,1744018814.1832693,1
right,1744018827.4944746,1
right,1744018829.974521,1
entrance,1744018898.8090246,1
left,1744018898.9614518,1
left,1744018898.9759212,1
entrance,1744018918.7321131,1
entrance,1744018918.75746,1
left,1744018918.885934,1
left,1744018918.9139352,1
right,1744018987.6081295,1
entrance,1744018989.7277346,1
right,1744019028.2206266,1
left,1744019030.5601113,1
entrance,1744019080.0842736,1
entrance,1744019080.1266544,1
left,1744019080.2609332,1
left,1744019080.278233,1
entrance,1744019082.425171,1
entrance,1744019082.4627244,1
entrance,1744019082.524238,1
left,1744019082.705201,1
left,1744019082.7408822,1
entrance,1744019083.1033146,1
left,1744019083.300288,1
right,1744021153.9209454,4
entrance,1744021225.9279382,4
entrance,1744021225.9640288,4
entrance,1744021236.6159267,4
right,1744021277.6657057,4
entrance,1744021317.1958363,4
entrance,1744021386.6131356,4
entrance,1744021461.2821271,4
entrance,1744021461.3054078,4
left,1744021461.417266,4
entrance,1744021466.7440264,3
entrance,1744021518.180807,3
entrance,1744021524.5157192,3
right,1744021580.1927996,3
entrance,1744021580.3093045,3
entrance,1744021620.2151935,3
entrance,1744021620.2297626,3
right,1744021672.54502,3
right,1744021729.4459434,3
entrance,1744021796.487972,3
entrance,1744021862.1198208,3
entrance,1744021872.6145592,3
entrance,1744021872.6687913,3
entrance,1744021933.967779,3
right,1744021934.919106,3
right,1744021935.0632231,4
right,1744021937.1787062,4
entrance,1744021937.2645566,4
entrance,1744021937.296896,4
right,1744021937.3226745,4
right,1744021937.4215472,3
entrance,1744021937.788916,3
entrance,1744021937.8042605,3
entrance,1744022000.7032351,3
entrance,1744022000.724898,3
entrance,1744022000.73688,3
entrance,1744022002.028384,3
entrance,1744022002.062996,3
entrance,1744022002.101745,3
entrance,1744022092.8715942,3
right,1744022094.431064,3
entrance,1744022106.626709,3
entrance,1744022106.647218,3
entrance,1744022106.679112,3
right,1744022107.2623663,3
right,1744022107.6166737,4
right,1744022124.919741,4
right,1744022124.9758134,4
entrance,1744022142.8016138,4
entrance,1744022142.8814228,4
right,1744022144.49221,4
right,1744022144.721299,4
entrance,1744022144.9857633,4
entrance,1744022145.012437,4
entrance,1744022145.0263634,4
entrance,1744022145.737054,4
entrance,1744022145.7470307,4
right,1744022159.021576,4
right,1744022192.4964104,4
right,1744022192.5071073,4
entrance,1744022212.5447128,4
entrance,1744022212.8498318,4
entrance,1744022215.5023367,4
entrance,1744022215.5328488,4
right,1744022232.896815,4
right,1744022258.3344789,4
entrance,1744022265.6829183,4
entrance,1744022278.0719645,4
right,1744022343.6795735,4
entrance,1744022346.783186,4
entrance,1744022346.8078413,4
entrance,1744022346.8202724,4
right,1744022354.1882248,4
right,1744022382.2841136,4
right,1744022386.1754649,4
right,1744022388.495664,4
right,1744022390.834485,4
right,1744022395.7878008,4
right,1744022396.1226292,4
right,1744022396.48867,4
right,1744022396.6357098,4
entrance,1744022397.750413,4
entrance,1744022397.7936974,3
entrance,1744022397.8251424,3
right,1744022397.9227667,3
right,1744022408.033876,3
right,1744022408.6927853,3
entrance,1744022418.5685885,3
right,1744022420.7983265,3
right,1744022420.816181,3
right,1744022450.8150718,3
right,1744022453.701236,3
right,1744022453.9830728,3
right,1744022457.229731,3
right,1744022460.784689,3
right,1744022475.249057,3
right,1744022476.7799375,3
right,1744022480.827669,3
right,1744022481.0017526,3
right,1744022481.464582,3
right,1744022481.9163742,3
entrance,1744022483.1475072,3
right,1744022496.7845488,4
right,1744022497.074156,4
entrance,1744022510.068224,4
right,1744022510.651363,4
entrance,1744022517.3970013,4
entrance,1744022517.406399,4
left,1744022517.597699,4
entrance,1744022517.729324,3
entrance,1744022517.7440794,3
entrance,1744022527.183992,3
entrance,1744022527.333737,3
entrance,1744022527.3557675,3
entrance,1744022527.3681097,3
entrance,1744022527.3885074,3
entrance,1744022527.8426917,3
entrance,1744022530.2722657,3
entrance,1744022536.081067,3
right,1744022544.3148444,3
right,1744022554.1663485,3
right,1744022556.324592,3
right,1744022563.2300496,3
right,1744022567.7224202,3
right,1744022568.7079167,3
right,1744022568.818783,3
right,1744022569.2031074,3
right,1744022572.7175355,3
right,1744022593.341625,3
right,1744022595.2325082,3
right,1744022598.351091,3
right,1744022663.8131044,3
right,1744022734.5200922,3
entrance,1744022737.9291427,3
entrance,1744022743.378337,3
entrance,1744022744.4153612,3
entrance,1744022818.8469656,3
entrance,1744022818.8724766,3
entrance,1744022837.8469105,3
entrance,1744022837.8983912,3
entrance,1744022860.1131425,3
right,1744022864.6932552,3
right,1744022865.7617528,3
right,1744022896.1970768,3
right,1744022896.4640365,3
right,1744022896.5570996,3
right,1744022896.6145597,3
right,1744022897.3861244,3
right,1744022944.3852742,3
entrance,1744022946.140921,3
entrance,1744022946.231943,3
entrance,1744022950.3829396,3
entrance,1744022950.3948538,3
left,1744022971.7824447,3
entrance,1744022971.9130445,3
entrance,1744023144.605442,7
entrance,1744023287.8692944,7
entrance,1744023287.882832,7
right,1744023311.939988,7
entrance,1744023322.929459,7
entrance,1744023324.9331386,7
entrance,1744023325.5458324,7
entrance,1744023325.8660276,7
entrance,1744023329.1318457,7
entrance,1744023329.1734984,7
entrance,1744023329.1968863,7
entrance,1744023329.2105756,7
entrance,1744023329.398513,7
entrance,1744023331.4555287,7
entrance,1744023331.4745362,7
entrance,1744023331.4948528,7
entrance,1744023331.5939474,7
entrance,1744023332.7892137,7
entrance,1744023334.776269,7
entrance,1744023396.4560444,7
entrance,1744023396.6019342,7
entrance,1744023568.0430195,7
entrance,1744023571.5240903,7
entrance,1744023881.690775,7
entrance,1744023881.7206705,7
entrance,1744023911.5086577,7
left,1744023912.27224,7
entrance,1744023938.1455483,8
entrance,1744023938.1732392,8
right,1744023939.0740204,8
right,1744023939.5376923,7
right,1744023939.5774405,7
right,1744023939.6594458,7
entrance,1744023939.6775482,7
entrance,1744023939.7179878,7
right,1744023940.2008824,7
entrance,1744023940.5747156,7
right,1744023947.594483,7
right,1744023982.6119242,7
right,1744023982.7447147,7
right,1744023983.0172882,7
right,1744023984.8354652,7
right,1744023985.3350875,7
entrance,1744023985.5931742,7
entrance,1744023985.6249557,8
entrance,1744023996.5762415,8
entrance,1744023996.611205,8
entrance,1744023996.9236972,8
entrance,1744023996.9378366,8
right,1744024085.1648445,8
entrance,1744024087.8672402,8
entrance,1744024087.8876743,8
right,1744024089.9211946,8
entrance,1744024090.395168,8
entrance,1744024187.1576116,7
entrance,1744024187.176058,7
left,1744024234.6314545,7
entrance,1744024234.8193538,7
entrance,1744024234.8392107,8
entrance,1744024238.1485512,8
entrance,1744024288.7173054,8
entrance,1744024342.6631303,8
entrance,1744024354.1846695,8
right,1744024354.7285156,8
right,1744024354.7800384,8
entrance,1744024387.578167,8
entrance,1744024387.6450884,8
entrance,1744024395.8861675,8
entrance,1744024398.826781,8
entrance,1744024429.638384,8
entrance,1744024429.7508812,8
entrance,1744024430.1096337,8
entrance,1744024448.0681446,8
entrance,1744024450.472641,8
entrance,1744024476.5494163,8
entrance,1744024476.5952687,8
entrance,1744024476.6087136,8
entrance,1744024476.6255884,8
entrance,1744024476.6370442,8
entrance,1744024481.3500116,8
entrance,1744024508.640312,8
entrance,1744024508.673653,8
entrance,1744024520.0244544,8
entrance,1744024520.0564108,8
entrance,1744024531.241128,8
right,1744024533.7406363,8
entrance,1744024534.3023772,8
entrance,1744024534.3721652,7
entrance,1744024547.151965,7
entrance,1744024547.1838517,7
entrance,1744024547.197333,7
entrance,1744024547.2212524,7
right,1744024547.4222076,7
right,1744024547.4418886,7
right,1744024547.451949,7
right,1744024553.4916446,7
right,1744024622.896204,7
right,1744024636.7976482,7
right,1744024636.8366077,7
entrance,1744024636.9419837,7
entrance,1744024636.956343,8
right,1744024661.0695984,8
right,1744024667.9634256,8
entrance,1744024668.7720883,8
right,1744024771.161926,7
entrance,1744024803.1972084,7
entrance,1744024803.22298,7
entrance,1744024803.2689314,7
entrance,1744024803.2905543,7
entrance,1744024803.315107,7
entrance,1744024851.1795342,7
entrance,1744024851.9000766,7
entrance,1744024854.1810434,7
entrance,1744024855.5791907,7
right,1744024876.3529372,7
right,1744024876.3631654,7
right,1744024876.3825183,7
entrance,1744024876.542787,7
right,1744024893.7796395,8
entrance,1744024895.7936327,8
entrance,1744024895.8129532,8
entrance,1744024895.8283927,8
entrance,1744024922.3784802,8
entrance,1744024926.3128834,8
right,1744024930.7383862,8
entrance,1744024932.4644084,8
entrance,1744024937.170054,8
entrance,1744024944.3074746,8
right,1744024986.0367265,8
right,1744025009.5654576,8
right,1744025009.586261,8
entrance,1744025009.7759092,8
left,1744025036.3046758,7
left,1744025036.3582273,7
left,1744025036.5086212,7
entrance,1744025037.6977336,7
entrance,1744025145.5268052,8
entrance,1744025145.5447593,8
left,1744025145.7530572,8
entrance,1744025184.381261,8
left,1744025184.483003,8
left,1744025184.5102086,7
right,1744025205.2123954,7
entrance,1744025205.894744,7
entrance,1744025205.9117942,8
entrance,1744025205.928228,8
left,1744025271.0657551,8
left,1744025271.096248,8
entrance,1744025271.277192,8
entrance,1744025271.2909508,7
left,1744025271.506862,7
entrance,1744025271.629032,7
entrance,1744025345.8011076,7
entrance,1744025345.8206456,7
entrance,1744025392.7472188,7
right,1744025436.6906517,7
entrance,1744025437.170059,7
entrance,1744025437.1953502,8
right,1744025440.175048,8
entrance,1744025440.813888,8
entrance,1744025441.013919,7
entrance,1744025459.7480862,7
right,1744025553.4881518,7
right,1744025553.9310672,7
right,1744025556.3570805,7
right,1744025557.2838943,7
right,1744025558.2194638,7
right,1744025558.3480012,7
right,1744025560.6754975,7
right,1744025562.2800756,7
right,1744025562.6511152,7
right,1744025563.000939,7
right,1744025566.2649002,7
entrance,1744025569.3188956,7
entrance,1744025569.3877566,7
entrance,1744025569.4194136,7
entrance,1744025628.2255025,7
entrance,1744025636.7268918,7
right,1744026218.9237084,7
entrance,1744026219.4484837,7
entrance,1744026219.4763038,8
entrance,1744026251.9299953,8
left,1744026252.217498,8
right,1744026305.4418402,8
entrance,1744026307.5759535,8
right,1744026646.053229,8
right,1744026650.6465886,8
right,1744026652.8085787,8
right,1744026653.4137917,8
right,1744026654.8128605,8
right,1744026657.4142082,8
right,1744026666.062123,8
right,1744026690.9751456,8
entrance,1744026731.4388697,8
right,1744026754.8610792,8
right,1744026755.7517972,8
right,1744026774.24762,8
entrance,1744026778.2490852,8
right,1744026797.844415,8
entrance,1744026799.31235,8
entrance,1744026799.362702,8
entrance,1744026799.3750298,8
right,1744026802.0410404,8
right,1744026802.0660696,8
entrance,1744026802.1738937,8
entrance,1744026802.1883335,7
right,1744026825.495474,7
right,1744026825.5479348,7
left,1744026859.17397,7
entrance,1744026866.754971,7
left,1744026867.469566,7
entrance,1744026867.8212447,7
entrance,1744026867.8635328,7
left,1744026868.0647883,7
left,1744026893.7377434,8
entrance,1744027099.1898658,6
entrance,1744027099.225987,6
entrance,1744027099.26426,6
left,1744027099.4224174,6
right,1744027115.5762675,6
right,1744027115.6035385,6
entrance,1744027116.60349,6
right,1744027275.0384965,5
entrance,1744027533.1162608,5
entrance,1744027533.6181548,5
entrance,1744027533.6338365,5
left,1744027533.7789974,5
right,1744027553.1049027,5
right,1744027948.418296,5
entrance,1744027948.9024076,5
entrance,1744027948.92459,6
right,1744027986.2540522,6
right,1744027986.4925764,6
right,1744027986.5510848,6
right,1744027986.7283115,6
right,1744027987.1106472,6
right,1744027988.609234,6
right,1744027988.8113763,6
entrance,1744028081.9543445,6
entrance,1744028081.987851,6
left,1744028082.1924765,6
entrance,1744028111.6301875,5
left,1744028111.978011,5
left,1744028300.985255,5
right,1744028337.8901484,5
entrance,1744028338.8045275,5
entrance,1744028538.0423608,5
entrance,1744028538.078971,5
entrance,1744028541.6880755,5
entrance,1744028541.7148385,5
entrance,1744028544.388796,5
entrance,1744028544.412779,5
left,1744028544.6107435,5
entrance,1744028821.859368,6
entrance,1744028824.2164142,6
right,1744029230.2944264,6
entrance,1744029230.62377,6
entrance,1744029230.6654618,5
entrance,1744029230.703207,5
entrance,1744029248.962844,5
entrance,1744029248.994738,5
entrance,1744029249.0261624,5
entrance,1744029249.0599415,5
entrance,1744029249.0925193,5
entrance,1744029249.1248114,5
entrance,1744029249.1565602,5
entrance,1744029249.1923585,5
entrance,1744029249.3405037,5
right,1744029314.4578338,5
right,1744029314.5687382,5
right,1744029314.5875194,5
entrance,1744029314.838491,5
entrance,1744029314.857233,6
entrance,1744029319.4928458,6
entrance,1744029319.5060985,6
entrance,1744029319.5247736,6
entrance,1744029319.5492237,6
entrance,1744029319.5840616,6
entrance,1744029319.617046,6
entrance,1744029319.6488452,6
entrance,1744029319.8175216,6
entrance,1744029328.8970652,6
entrance,1744029328.921522,6
entrance,1744029328.9522626,6
entrance,1744029367.7876956,6
right,1744029471.5670736,6
entrance,1744029472.226155,6
entrance,1744029472.2409682,6
right,1744029479.0652995,6
entrance,1744029482.121393,6
entrance,1744029565.772762,6
right,1744029723.9888067,6
right,1744029724.7800038,6
entrance,1744029726.319287,6
entrance,1744029794.074586,6
entrance,1744029794.1108422,6
entrance,1744029794.1449552,6
entrance,1744029813.0290022,6
entrance,1744029813.063254,6
entrance,1744029819.1615102,6
entrance,1744029819.3468652,6
entrance,1744029819.3840349,6
entrance,1744029819.5894551,6
entrance,1744029821.2703135,6
entrance,1744029821.4449902,6
entrance,1744029828.053174,6
entrance,1744029828.0933094,6
entrance,1744029828.1063595,6
entrance,1744029828.130945,6
entrance,1744029874.983945,6
entrance,1744029875.022543,6
entrance,1744029877.1360924,6
entrance,1744029877.3328807,6
entrance,1744029877.3520792,6
entrance,1744029877.3739722,6
entrance,1744029877.4160607,6
entrance,1744029877.4364157,6
entrance,1744029877.4594288,6
entrance,1744029877.4783983,6
entrance,1744029877.5003169,6
entrance,1744029877.5421183,6
entrance,1744029877.5625677,6
entrance,1744029877.7553203,6
entrance,1744029877.7751813,6
entrance,1744029877.7971408,6
entrance,1744029877.8173203,6
entrance,1744029877.8391445,6
entrance,1744029877.8595543,6
entrance,1744029878.5046797,6
entrance,1744029880.2368147,6
right,1744029888.4238546,6
entrance,1744029893.5200996,6
right,1744029924.8101044,6
right,1744029925.2069654,6
right,1744029925.830985,6
right,1744029927.9223487,6
entrance,1744029970.3313715,6
entrance,1744029970.366928,6
entrance,1744029973.0780537,6
entrance,1744029973.1172645,6
entrance,1744029973.6108878,6
entrance,1744029981.9598193,6
entrance,1744029984.3661942,6
entrance,1744029984.412472,6
entrance,1744029984.459583,6
entrance,1744029984.5032885,6
